Grid Position,Name,Type,Classification,System Type,System Name,Orbital Position,Star Size Rank,Planet Size Rank,Spectral Type,Evolutionary Stage,Star Special Characteristics,Size-Based Classification,Composition-Based Classification,Habitability,Planet Special Characteristics,Orbit Number,Distance from Star (AU),X,Y,Quadrant_16,Old_Name,Old_Name_Esperanto,Esperanto_Name,Meaning,Planet Classification Codes,Planet Classification Descriptions
246-157,Astrujo,Star,PS-CI-ES,Solitary Star System,Primordial ,,22.4,,Blue Giant,,,,,,,,,246,157,7,Primordial Luminary,Primordial,Astrujo,celestial body — world / place,,
175-86,Lumosky,Star,O-BH-W,Solitary Star System,LumoSkySistemo,-,21.4,,Blue Giant,Black Hole,Wormhole Star,,,,,,,175,86,2,SteloSkyStelo,Lumosky,Lumosky,canonical (preserved),,
137-136,Ventujo,Star,O-BH-W,Solitary Star System,CieloWindSistemo,-,21.4,,Blue Giant,Black Hole,Wormhole Star,,,,,,,137,136,6,MaroMountainStelo,Cielvento,Ventujo,wind — world / place,,
148-28,Montujo,Star,O-BH-W,Trinary Star System,SteloLightSistemo,-,21.4,,Blue Giant,Black Hole,Wormhole Star,,,,,,,148,28,2,,MontoSeaStelo,Montujo,mountain — world / place,,
32-289,Astraro,Star,O-BH-Mg,Solitary Star System,TeroStarSistemo,-,21.2,,Blue Giant,Black Hole,Magnetar,,,,,,,32,289,9,FajroSeaStelo,Tero,Astraro,celestial body — cluster / collection,,
140-284,Stelujo,Star,O-BH-P,Binary Star System,LumoStarSistemo,-,21.1,,Blue Giant,Black Hole,Pulsar,,,,,,,140,284,10,,TeroLightStelo,Stelujo,star — world / place,,
326-84,Astrido,Star,O-NS-P,Solitary Star System,TeroEarthSistemo,-,20.6,,Blue Giant,Neutron Star,Pulsar,,,,,,,326,84,4,SteloStarStelo,Tero [326-84],Astrido,celestial body — offspring / moon,,
391-180,Akvujo,Star,O-RG-W,Solitary Star System,AkvoWindSistemo,-,19.9,,Blue Giant,Red Giant,Wormhole Star,,,,,,,391,180,8,VentoStarStelo,Akvovento,Akvujo,water — world / place,,
111-225,Astrego,Star,O-RG-W,Solitary Star System,CieloEarthSistemo,-,19.9,,Blue Giant,Red Giant,Wormhole Star,,,,,,,111,225,10,TeroStarStelo,Cielotero,Astrego,celestial body — giant / great,,
229-216,Ventaro,Star,O-RG-W,Trinary Star System,VentoSkySistemo,-,19.9,,Blue Giant,Red Giant,Wormhole Star,,,,,,,229,216,11,SteloSeaStelo,Ventocielo,Ventaro,wind — cluster / collection,,
172-106,Stelaro,Star,O-RG-Q,Trinary Star System,SteloStarSistemo,-,19.8,,Blue Giant,Red Giant,Quasar,,,,,,,172,106,6,,SteloSkyStelo,Stelaro,star — cluster / collection,,
234-39,Astreto,Star,O-RG-Q,Solitary Star System,NoktoNightSistemo,-,19.8,,Blue Giant,Red Giant,Quasar,,,,,,,234,39,3,FajroMountainStelo,Nokto,Astreto,celestial body — small / minor,,
355-100,Montaro,Star,O-RG-Q,Solitary Star System,MontoWaterSistemo,-,19.8,,Blue Giant,Red Giant,Quasar,,,,,,,355,100,4,AkvoStarStelo,MontoAkvo,Montaro,mountain — cluster / collection,,
396-232,Akvaro,Star,O-RG-Mg,Binary Star System,SteloWaterSistemo,-,19.7,,Blue Giant,Red Giant,Magnetar,,,,,,,396,232,12,MontoSeaStelo,Akvo,Akvaro,water — cluster / collection,,
295-214,Montido,Star,O-RG-P,Solitary Star System,MontoSkySistemo,-,19.6,,Blue Giant,Red Giant,Pulsar,,,,,,,295,214,11,MaroWaterStelo,Montocielo,Montido,mountain — offspring / moon,,
5-127,Fajrujo,Star,B-BH-D,Solitary Star System,FajroWindSistemo,-,19.5,,Blue-White Star,Black Hole,Dyson Star,,,,,,,5,127,5,MontoWaterStelo,FajroVento,Fajrujo,fire — world / place,,
292-410,Marujo,Star,O-MS-W,Trinary Star System,MaroNightSistemo,-,19.4,,Blue Giant,Main Sequence,Wormhole Star,,,,,,,292,410,15,TeroWindStelo,MaroNokto,Marujo,sea — world / place,,
172-106,Mararo,Star,O-MS-W,Binary Star System,SteloStarSistemo,-,19.4,,Blue Giant,Main Sequence,Wormhole Star,,,,,,,172,106,6,,MaroMountainStelo,Mararo,sea — cluster / collection,,
295-214,Montego,Star,B-BH-Q,Trinary Star System,MontoSkySistemo,-,19.3,,Blue-White Star,Black Hole,Quasar,,,,,,,295,214,11,FajroNightStelo,Montocielo [295-214],Montego,mountain — giant / great,,
32-408,Fajraro,Star,O-MS-Q,Binary Star System,FajroWaterSistemo,-,19.3,,Blue Giant,Main Sequence,Quasar,,,,,,,32,408,13,TeroMountainStelo,FajroAkvo,Fajraro,fire — cluster / collection,,
98-60,Fajrido,Star,O-MS-P,Solitary Star System,FajroNightSistemo,-,19.1,,Blue Giant,Main Sequence,Pulsar,,,,,,,98,60,1,MaroMountainStelo,FajroNokto,Fajrido,fire — offspring / moon,,
233-206,Marido,Star,O-MS-P,Trinary Star System,MaroWaterSistemo,-,19.1,,Blue Giant,Main Sequence,Pulsar,,,,,,,233,206,7,LumoLightStelo,MaroAkvo,Marido,sea — offspring / moon,,
297-259,Marego,Star,O-MS-P,Binary Star System,MaroMountainSistemo,-,19.1,,Blue Giant,Main Sequence,Pulsar,,,,,,,297,259,11,CieloWaterStelo,MaroMonto,Marego,sea — giant / great,,
82-163,Ventido,Star,O-K-F,Trinary Star System,VentoUniverso,-,19.0,,Blue Giant,,,,,,,,,82,163,5,VentoUniversoStelo,Vento,Ventido,wind — offspring / moon,,
73-378,Monteto,Star,O-B-K,Solitary Star System,MontoKosmo,-,19.0,,Blue Giant,,,,,,,,,73,378,13,MontoKosmoStelo,Monto,Monteto,mountain — small / minor,,
158-113,Lumujo,Star,O-G-F,Trinary Star System,LumoOrbito,-,19.0,,Blue Giant,,,,,,,,,158,113,6,,LumoOrbitoStelo,Lumujo,light — world / place,,
38-46,Lumaro,Star,B-NS-Q,Binary Star System,LumoMountainSistemo,-,18.8,,Blue-White Star,Neutron Star,Quasar,,,,,,,38,46,1,NoktoEarthStelo,LumoMonto,Lumaro,light — cluster / collection,,
213-150,Montejo,Star,B-NS-Mg,Trinary Star System,MontoMountainSistemo,-,18.7,,Blue-White Star,Neutron Star,Magnetar,,,,,,,213,150,7,MaroWaterStelo,Monto [213-150],Montejo,mountain — domain / sanctuary,,
230-386,Mareto,Star,B-NS-P,Binary Star System,MaroStarSistemo,-,18.6,,Blue-White Star,Neutron Star,Pulsar,,,,,,,230,386,15,CieloEarthStelo,Maro,Mareto,sea — small / minor,,
39-137,Astrejo,Star,B-NS-P,Solitary Star System,NoktoFireSistemo,-,18.6,,Blue-White Star,Neutron Star,Pulsar,,,,,,,39,137,5,SteloWindStelo,NoktoFire,Astrejo,celestial body — domain / sanctuary,,
337-236,Akvido,Star,B-NS-P,Solitary Star System,AkvoEarthSistemo,-,18.6,,Blue-White Star,Neutron Star,Pulsar,,,,,,,337,236,12,FajroWindStelo,AkvoTero,Akvido,water — offspring / moon,,
303-359,Montumo,Star,B-WB-D,Binary Star System,MontoWindSistemo,-,18.5,,Blue-White Star,White Dwarf,Wormhole Star,,,,,,,303,359,15,AkvoLightStelo,MontoVento,Montumo,mountain — abstract / energy,,
254-343,Astrumo,Star,B-WB-D,Binary Star System,SteloNightSistemo,-,18.5,,Blue-White Star,White Dwarf,Wormhole Star,,,,,,,254,343,15,LumoMountainStelo,Nokto [254-343],Astrumo,celestial body — abstract / energy,,
318-178,Lumido,Star,B-WB-Q,Solitary Star System,LumoEarthSistemo,-,18.3,,Blue-White Star,White Dwarf,Quasar,,,,,,,318,178,8,FajroNightStelo,LumoTero,Lumido,light — offspring / moon,,
159-259,Astregujo,Star,B-WB-Q,Trinary Star System,NoktoStarSistemo,-,18.3,,Blue-White Star,White Dwarf,Quasar,,,,,,,159,259,10,MontoNightStelo,Nokto [159-259],Astregujo,celestial body — giant world,,
391-180,Akvego,Star,B-WB-Mg,Solitary Star System,AkvoWindSistemo,-,18.2,,Blue-White Star,White Dwarf,Magnetar,,,,,,,391,180,8,MaroFireStelo,Akvovento [391-180],Akvego,water — giant / great,,
233-206,Marejo,Star,B-WB-Mg,Binary Star System,MaroWaterSistemo,-,18.2,,Blue-White Star,White Dwarf,Magnetar,,,,,,,233,206,7,MontoWindStelo,MaroAkvo [233-206],Marejo,sea — domain / sanctuary,,
285-344,Montegujo,Star,B-RG-Q,Solitary Star System,NoktoMountainSistemo,-,17.8,,Blue-White Star,Red Giant,Quasar,,,,,,,285,344,15,FajroSkyStelo,NoktoMonto,Montegujo,mountain — giant world,,
126-342,Astretujo,Star,A-BH-D,Solitary Star System,SteloSkySistemo,-,17.5,,Blue-White Star,Black Hole,Dyson Star,,,,,,,126,342,14,LumoStarStelo,Cielo,Astretujo,celestial body — small world,,
119-47,Akveto,Star,B-MS-D,Trinary Star System,AkvoMountainSistemo,-,17.5,,Blue-White Star,Main Sequence,Dyson Star,,,,,,,119,47,2,TeroEarthStelo,AkvoMonto,Akveto,water — small / minor,,
387-162,Akvejo,Star,A-BH-D,Binary Star System,TeroWaterSistemo,-,17.5,,Blue-White Star,Black Hole,Dyson Star,,,,,,,387,162,8,VentoMountainStelo,TeroAkvo,Akvejo,water — domain / sanctuary,,
324-153,Lumego,Star,B-MS-W,Solitary Star System,LumoWaterSistemo,-,17.4,,Blue-White Star,Main Sequence,Wormhole Star,,,,,,,324,153,8,MaroSeaStelo,LumoAkvo,Lumego,light — giant / great,,
254-343,Astregaro,Star,A-BH-W,Solitary Star System,SteloNightSistemo,-,17.4,,Blue-White Star,Black Hole,Wormhole Star,,,,,,,254,343,15,TeroFireStelo,Nokto [254-343],Astregaro,celestial body — great cluster,,
215-167,Akvumo,Star,B-MS-P,Solitary Star System,CieloWaterSistemo,-,17.1,,Blue-White Star,Main Sequence,Pulsar,,,,,,,215,167,7,AkvoNightStelo,CieloAkvo,Akvumo,water — abstract / energy,,
235-65,Marumo,Star,B-MS-P,Binary Star System,TeroSeaSistemo,-,17.1,,Blue-White Star,Main Sequence,Pulsar,,,,,,,235,65,3,LumoWaterStelo,TeroMaro,Marumo,sea — abstract / energy,,
235-65,Maregujo,Star,A-NS-D,Trinary Star System,TeroSeaSistemo,-,17.0,,White Star,Neutron Star,Dyson Star,,,,,,,235,65,3,TeroWindStelo,TeroMaro [235-65],Maregujo,sea — giant world,,
134-196,Lumeto,Star,B-M-F,Binary Star System,LumoKosmo,-,17.0,,Blue-White Star,,,,,,,,,134,196,6,,LumoKosmoStelo,Lumeto,light — small / minor,,
331-312,Ventego,Star,B-A-M,Binary Star System,VentoGalaksio,-,17.0,,Blue-White Star,,,,,,,,,331,312,16,VentoGalaksioStelo,Vento [331-312],Ventego,wind — giant / great,,
274-302,Maretujo,Star,A-NS-P,Solitary Star System,MaroLightSistemo,-,16.6,,White Star,Neutron Star,Pulsar,,,,,,,274,302,11,SteloFireStelo,MaroLumo,Maretujo,sea — small world,,
19-168,Maregaro,Star,A-NS-P,Binary Star System,MaroWindSistemo,-,16.6,,White Star,Neutron Star,Pulsar,,,,,,,19,168,5,MontoMountainStelo,MaroVento,Maregaro,sea — great cluster,,
5-210,Lumejo,Star,A-WB-W,Trinary Star System,NoktoLightSistemo,-,16.4,,Blue-White Star,White Dwarf,Wormhole Star,,,,,,,5,210,9,TeroNightStelo,NoktoLumo,Lumejo,light — domain / sanctuary,,
230-386,Marejaro,Star,A-RG-D,Trinary Star System,MaroStarSistemo,-,16.0,,White Star,Red Giant,Dyson Star,,,,,,,230,386,15,TeroMountainStelo,Maro [230-386],Marejaro,sea — domain cluster,,
292-410,Marideto,Star,A-RG-W,Trinary Star System,MaroNightSistemo,-,15.9,,White Star,Red Giant,Wormhole Star,,,,,,,292,410,15,NoktoLightStelo,MaroNokto [292-410],Marideto,sea — minor moon,,
274-302,Maregumo,Star,A-RG-Mg,Solitary Star System,MaroLightSistemo,-,15.7,,White Star,Red Giant,Magnetar,,,,,,,274,302,11,TeroWaterStelo,MaroLumo [274-302],Maregumo,sea — great energy form,,
5-210,Lumumo,Star,A-MS-D,Solitary Star System,NoktoLightSistemo,-,15.5,,White Star,Main Sequence,Dyson Star,,,,,,,5,210,9,LumoWaterStelo,NoktoLumo [5-210],Lumumo,light — abstract / energy,,
327-311,Lumegujo,Star,A-MS-D,Trinary Star System,TeroLightSistemo,-,15.5,,White Star,Main Sequence,Dyson Star,,,,,,,327,311,12,SteloSeaStelo,Terolumo,Lumegujo,light — giant world,,
327-311,Lumetujo,Star,A-MS-W,Binary Star System,TeroLightSistemo,-,15.4,,White Star,Main Sequence,Wormhole Star,,,,,,,327,311,12,MontoFireStelo,Terolumo [327-311],Lumetujo,light — small world,,
274-302,Maretaro,Star,A-MS-Q,Trinary Star System,MaroLightSistemo,-,15.3,,White Star,Main Sequence,Quasar,,,,,,,274,302,11,LumoLightStelo,MaroLumo [274-302],Maretaro,sea — small cluster,,
274-302,Maregejo,Star,A-MS-P,Binary Star System,MaroLightSistemo,-,15.1,,White Star,Main Sequence,Pulsar,,,,,,,274,302,11,CieloSeaStelo,MaroLumo [274-302],Maregejo,sea — great domain,,
49-271,Venteto,Star,F-BH-P,Binary Star System,LumoLightSistemo,-,15.1,,Blue-White Star,Black Hole,Pulsar,,,,,,,49,271,9,,VentoSeaStelo,Venteto,wind — small / minor,,
413-332,Montetujo,Star,A-MS-P,Binary Star System,TeroMountainSistemo,-,15.1,,White Star,Main Sequence,Pulsar,,,,,,,413,332,16,AkvoFireStelo,TeroMonto,Montetujo,mountain — small world,,
320-88,Akvegujo,Star,A-M-F,Trinary Star System,AkvoStelo,-,15.0,,White Star,,,,,,,,,320,88,4,AkvoSteloStelo,Akvo [320-88],Akvegujo,water — giant world,,
378-279,Stelido,Star,A-G-O,Solitary Star System,SteloOrbito,-,15.0,,Blue Giant,,,,,,,,,378,279,12,,SteloOrbitoStelo,Stelido,star — offspring / moon,,
155-135,Astrejaro,Star,A-M-B,Binary Star System,NoktoSistemo,-,15.0,,Blue-White Star,,,,,,,,,155,135,6,NoktoSistemoStelo,Nokto [155-135],Astrejaro,celestial body — domain cluster,,
62-108,Astrideto,Star,A-M-F,Solitary Star System,TeroUniverso,-,15.0,,White Star,,,,,,,,,62,108,5,TeroUniversoStelo,Tero [62-108],Astrideto,celestial body — minor moon,,
160-106,Montegaro,Star,A-M-F,Solitary Star System,MontoStelo,-,15.0,,White Star,,,,,,,,,160,106,6,MontoSteloStelo,Monto [160-106],Montegaro,mountain — great cluster,,
355-288,Astregumo,Star,A-F-F,Trinary Star System,CieloOrbito,-,15.0,,White Star,,,,,,,,,355,288,12,CieloOrbitoStelo,Cielo [355-288],Astregumo,celestial body — great energy form,,
276-311,Fajrego,Star,F-NS-W,Trinary Star System,FajroSkySistemo,-,14.9,,Yellow-White Star,Neutron Star,Wormhole Star,,,,,,,276,311,11,MontoFireStelo,FajroCielo,Fajrego,fire — giant / great,,
225-105,Montejaro,Star,F-NS-Q,Binary Star System,CieloMountainSistemo,-,14.8,,Yellow-White Star,Neutron Star,Quasar,,,,,,,225,105,7,VentoSeaStelo,CieloMonto,Montejaro,mountain — domain cluster,,
166-138,Montideto,Star,F-NS-P,Binary Star System,MontoEarthSistemo,-,14.6,,Yellow-White Star,Neutron Star,Pulsar,,,,,,,166,138,6,AkvoNightStelo,MontoTero,Montideto,mountain — minor moon,,
49-271,Ventejo,Star,F-WB-W,Binary Star System,LumoLightSistemo,-,14.4,,Blue-White Star,White Dwarf,Wormhole Star,,,,,,,49,271,9,,VentoWaterStelo,Ventejo,wind — domain / sanctuary,,
137-136,Ventumo,Star,F-WB-Mg,Solitary Star System,CieloWindSistemo,-,14.2,,Blue-White Star,White Dwarf,Magnetar,,,,,,,137,136,6,TeroLightStelo,Cielvento [137-136],Ventumo,wind — abstract / energy,,
254-343,Astretaro,Star,F-RG-D,Trinary Star System,SteloNightSistemo,-,14.0,,Yellow-White Star,Red Giant,Dyson Star,,,,,,,254,343,15,MaroSeaStelo,Nokto [254-343],Astretaro,celestial body — small cluster,,
60-39,Marujo-Nova,Star,F-RG-P,Trinary Star System,NoktoSeaSistemo,-,13.6,,Yellow-White Star,Red Giant,Pulsar,,,,,,,60,39,1,AkvoMountainStelo,Noktomaro,Marujo-Nova,sea — new/variant,,
389-209,Ventegujo,Star,F-RG-P,Solitary Star System,TeroWindSistemo,-,13.6,,Yellow-White Star,Red Giant,Pulsar,,,,,,,389,209,12,TeroNightStelo,TeroVento,Ventegujo,wind — giant world,,
148-28,Stelego,Star,F-RG-P,Binary Star System,SteloLightSistemo,-,13.6,,Yellow-White Star,Red Giant,Pulsar,,,,,,,148,28,2,,NoktoWaterStelo,Stelego,star — giant / great,,
32-289,Astregejo,Star,G-BH-D,Binary Star System,TeroStarSistemo,-,13.5,,Blue-White Star,Black Hole,Dyson Star,,,,,,,32,289,9,VentoMountainStelo,Tero [32-289],Astregejo,celestial body — great domain,,
303-359,Montegumo,Star,F-MS-D,Trinary Star System,MontoWindSistemo,-,13.5,,Yellow-White Star,Main Sequence,Dyson Star,,,,,,,303,359,15,TeroWindStelo,MontoVento [303-359],Montegumo,mountain — great energy form,,
318-178,Lumegaro,Star,F-MS-Q,Solitary Star System,LumoEarthSistemo,-,13.3,,Yellow-White Star,Main Sequence,Quasar,,,,,,,318,178,8,MontoFireStelo,LumoTero [318-178],Lumegaro,light — great cluster,,
400-5,Astrujo-Nova,Star,G-BH-Q,Solitary Star System,TeroFireSistemo,-,13.3,,Blue-White Star,Black Hole,Quasar,,,,,,,400,5,4,LumoStarStelo,TeroFire,Astrujo-Nova,celestial body — new/variant,,
295-214,Montetaro,Star,G-NS-D,Binary Star System,MontoSkySistemo,-,13.0,,Yellow Star,Neutron Star,Dyson Star,,,,,,,295,214,11,VentoEarthStelo,Montocielo [295-214],Montetaro,mountain — small cluster,,
